# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.65,0.5,0.0,0,3.0,0,0.0,0.0,0.0
 0.09721134488144655,1.6641750683604892,0.5,0.0,0.2916340346443397,3.0000000000000004,0,0.0,0.0,0.0
 0.13766021857362318,1.6784255036666065,0.5,0.0,0.41298065572086956,2.9999999999999996,0,0.0,0.0,0.0
 0.16882055865519685,1.692750571536979,0.5,0.0,0.5064616759655906,2.999999999999999,0,0.0,0.0,0.0
 0.19519142329216815,1.7071495375902335,0.5,0.0,0.5855742698765045,3.000000000000002,0,0.0,0.0,0.0
 0.21851265019825533,1.7216216674449976,0.5,0.0,0.655537950594766,3.0,0,0.0,0.0,0.0
 0.23967509496524284,1.7361662267198972,0.5,0.0,0.7190252848957286,3.0000000000000013,0,0.0,0.0,0.0
 0.25920709999735736,1.75078248103356,0.5,0.0,0.7776212999920722,3.0000000000000013,0,0.0,0.0,0.0
 0.2774523334492043,1.7654696960046126,0.5,0.0,0.832357000347613,3.0,0,0.0,0.0,0.0
 0.2946490989314604,1.7802271372516822,0.5,0.0,0.8839472967943814,3.0000000000000067,0,0.0,0.0,0.0
 0.3109705992462908,1.7950540703933957,0.5,0.0,0.9329117977388726,3.0,0,0.0,0.0,0.0
 0.3265473534301778,1.8099497610483801,0.5,0.0,0.9796420602905337,3.0,0,0.0,0.0,0.0
 0.34148057517743013,1.8249134748352627,0.5,0.0,1.0244417255322906,3.0,0,0.0,0.0,0.0
 0.3558506028964685,1.83994447737267,0.5,0.0,1.0675518086894058,3.0,0,0.0,0.0,0.0
 0.3697224493041857,1.855042034279229,0.5,0.0,1.1091673479125572,2.999999999999996,0,0.0,0.0,0.0
 0.38314958886712186,1.8702054111735666,0.5,0.0,1.1494487666013657,3.0,0,0.0,0.0,0.0
 0.3961766219539887,1.8854338736743104,0.5,0.0,1.1885298658619663,3.0000000000000084,0,0.0,0.0,0.0
 0.40884119769586713,1.9007266874000865,0.5,0.0,1.2265235930876017,3.0000000000000044,0,0.0,0.0,0.0
 0.4211754329409719,1.9160831179695226,0.5,0.0,1.2635262988229161,3.0,0,0.0,0.0,0.0
 0.4332069797846795,1.9315024310012454,0.5,0.0,1.2996209393540388,3.0,0,0.0,0.0,0.0
 0.44495984246812065,1.946983892113882,0.5,0.0,1.3348795274043623,3.000000000000005,0,0.0,0.0,0.0
 0.45645501196799887,1.9625267669260589,0.5,0.0,1.369365035903997,3.000000000000005,0,0.0,0.0,0.0
 0.4677109656304155,1.9781303210564034,0.5,0.0,1.4031328968912469,3.0,0,0.0,0.0,0.0
 0.47874406532338526,1.9937938201235426,0.5,0.0,1.4362321959701563,3.000000000000005,0,0.0,0.0,0.0
 0.4895688781952979,2.0095165297461035,0.5,0.0,1.4687066345858941,3.0,0,0.0,0.0,0.0
 0.5001984376509739,2.0252977155427128,0.5,0.0,1.5005953129529221,2.9999999999999845,0,0.0,0.0,0.0
 0.5106444576101833,2.0411366431319973,0.5,0.0,1.5319333728305502,3.0,0,0.0,0.0,0.0
 0.5209175098692592,2.0570325781325844,0.5,0.0,1.5627525296077778,2.9999999999999782,0,0.0,0.0,0.0
 0.5310271720374276,2.0729847861631012,0.5,0.0,1.5930815161122827,2.999999999999989,0,0.0,0.0,0.0
 0.5409821517956481,2.088992532842174,0.5,0.0,1.6229464553869442,2.999999999999978,0,0.0,0.0,0.0
 0.5507903919450248,2.1050550837884305,0.5,0.0,1.6523711758350739,2.9999999999999774,0,0.0,0.0,0.0
 0.5604591597493956,2.1211717046204974,0.5,0.0,1.6813774792481866,3.0000000000000115,0,0.0,0.0,0.0
 0.5699951233458067,2.1373416609570017,0.5,0.0,1.70998537003742,3.0000000000000115,0,0.0,0.0,0.0
 0.5794044174360259,2.1535642184165704,0.5,0.0,1.7382132523080773,2.999999999999988,0,0.0,0.0,0.0
 0.5886927000384442,2.16983864261783,0.5,0.0,1.766078100115332,2.999999999999976,0,0.0,0.0,0.0
 0.5978652017411109,2.1861641991794083,0.5,0.0,1.793595605223332,2.9999999999999756,0,0.0,0.0,0.0
 0.6069267686302481,2.2025401537199314,0.5,0.0,1.8207803058907432,2.9999999999999756,0,0.0,0.0,0.0
 0.6158818998574469,2.2189657718580267,0.5,0.0,1.8476456995723396,2.9999999999999876,0,0.0,0.0,0.0
 0.6247347806401913,2.235440319212321,0.5,0.0,1.8742043419205727,3.0,0,0.0,0.0,0.0
 0.6334893113549446,2.251963061401442,0.5,0.0,1.9004679340648327,3.000000000000013,0,0.0,0.0,0.0
 0.6421491332725427,2.268533264044016,0.5,0.0,1.9264473998176275,3.0000000000000258,0,0.0,0.0,0.0
 0.6507176513966053,2.28515019275867,0.5,0.0,1.952152954189815,2.999999999999987,0,0.0,0.0,0.0
 0.6591980547928581,2.301813113164031,0.5,0.0,1.9775941643785735,3.000000000000013,0,0.0,0.0,0.0
 0.6675933347374118,2.318521290878726,0.5,0.0,2.0027800042122346,3.0,0,0.0,0.0,0.0
 0.6759063009625832,2.3352739915213823,0.5,0.0,2.0277189028877487,2.9999999999999867,0,0.0,0.0,0.0
 0.6841395962377986,2.3520704807106263,0.5,0.0,2.052418788713395,2.9999999999999867,0,0.0,0.0,0.0
 0.6922957094888891,2.3689100240650856,0.5,0.0,2.0768871284666663,3.0000000000000138,0,0.0,0.0,0.0
